id,timestamp,date,condition,feedback,chosen_topic,num_distinct_topics,multi_topic_conversation,num_exchanges,total_messages,num_user_messages,num_assistant_messages,num_system_messages,turn_balance_user_over_assistant,total_words_conversation,total_user_words,total_assistant_words,avg_user_words_per_message,avg_assistant_words_per_message,avg_user_sentences_per_message,avg_assistant_sentences_per_message,avg_user_words_per_sentence,avg_assistant_words_per_sentence,lexical_diversity_user,lexical_diversity_conversation,first_person_pronouns_user,second_person_pronouns_user,assistant_question_rate,user_question_rate,assistant_exclamation_rate,user_exclamation_rate,politeness_marker_count_conversation,assistant_clarification_count,assistant_repair_count,assistant_repeated_fallback_count,assistant_repetition_count,user_divergence_marker_count,topic_switching_frequency,dialogact_greeting_count,dialogact_farewell_count,dialogact_question_count,dialogact_answer_count,dialogact_clarification_count,dialogact_refusal_count,dialogact_topic_selection_count,dialogact_acknowledgment_count,completion_proxy,early_dropoff
1,2025-05-30 07:45:49,2025-05-30,Condition A (Willi),,Watches,2,1,13,27,13,14,0,0.9285714285714286,744,55,689,4.230769230769231,49.214285714285715,1.0,5.142857142857143,4.230769230769231,9.569444444444445,0.7454545454545455,0.49193548387096775,10,0,0.9285714285714286,0.0,0.9285714285714286,0.0,4,0,0,0,0,0,1,4,0,9,10,0,3,1,0,1,0
6,2025-06-02 08:39:23,2025-06-02,Condition A (Willi),,Watches,2,1,15,31,15,16,0,0.9375,855,64,791,4.266666666666667,49.4375,1.0,5.3125,4.266666666666667,9.305882352941177,0.734375,0.49122807017543857,7,1,0.8125,0.0,0.9375,0.0,6,0,0,0,0,0,1,7,0,10,10,0,2,2,0,1,0
7,2025-06-02 08:53:43,2025-06-02,Condition A (Willi),,Watches,2,1,3,7,3,4,0,0.75,291,19,272,6.333333333333333,68.0,1.0,7.5,6.333333333333333,9.066666666666666,0.7894736842105263,0.6391752577319587,4,0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,1,2,0,2,3,0,0,0,0,0,0
8,2025-06-05 11:18:42,2025-06-05,Condition A (Willi),,Breakfast,1,0,8,17,8,9,0,0.8888888888888888,471,40,431,5.0,47.888888888888886,1.0,5.666666666666667,5.0,8.450980392156863,0.9,0.5626326963906582,1,0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,2,0,7,7,0,0,1,0,1,0
9,2025-06-05 11:34:57,2025-06-05,Condition A (Willi),,Watches,1,0,6,13,6,7,0,0.8571428571428571,635,28,607,4.666666666666667,86.71428571428571,1.0,8.0,4.666666666666667,10.839285714285714,0.8214285714285714,0.44251968503937006,4,0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,3,0,4,5,0,1,0,0,1,0
10,2025-06-05 12:15:16,2025-06-05,Condition A (Willi),,Breakfast,1,0,23,47,23,24,0,0.9583333333333334,1224,203,1021,8.826086956521738,42.541666666666664,1.0,4.041666666666667,8.826086956521738,10.525773195876289,0.5960591133004927,0.4076797385620915,17,7,0.875,0.0,0.875,0.0,1,0,0,0,0,0,0,10,1,13,18,0,5,0,0,1,0
11,2025-06-05 12:32:45,2025-06-05,Condition A (Willi),,Vacation,2,1,9,19,9,10,0,0.9,686,91,595,10.11111111111111,59.5,1.0,7.2,10.11111111111111,8.26388888888889,0.7582417582417582,0.5466472303206997,8,0,1.0,0.0,1.0,0.0,2,0,0,0,0,0,1,8,0,3,7,0,0,1,0,1,0
12,2025-06-05 13:09:43,2025-06-05,Condition A (Willi),,Vacation,1,0,14,29,14,15,0,0.9333333333333333,766,117,649,8.357142857142858,43.266666666666666,1.0,4.6,8.357142857142858,9.405797101449275,0.6666666666666666,0.4412532637075718,11,3,0.6666666666666666,0.0,1.0,0.0,4,0,0,0,0,0,0,10,2,3,11,0,3,0,0,1,0
13,2025-06-05 13:17:09,2025-06-05,Condition A (Willi),,Breakfast,2,1,10,21,10,11,0,0.9090909090909091,541,55,486,5.5,44.18181818181818,1.0,5.0,5.5,8.836363636363636,0.8363636363636363,0.5674676524953789,9,1,0.8181818181818182,0.0,1.0,0.0,2,0,0,0,0,0,1,3,1,6,9,0,1,1,0,1,0
14,2025-06-05 13:24:00,2025-06-05,Condition A (Willi),,Watches,1,0,9,19,9,10,0,0.9,582,27,555,3.0,55.5,1.0,5.5,3.0,10.090909090909092,0.8888888888888888,0.5378006872852233,3,0,0.8,0.0,1.0,0.0,2,0,0,0,0,0,0,3,0,5,10,0,0,1,0,1,0
